73	99	35	0	2	34	70	71	75	59	15	91	27	82	69	9	89	3	10	40	3
43	95	24	59	85	27	84	20	14	12	82	8	86	35	58	21	30	36	88	77	0
69	8	90	50	19	45	44	65	33	6	60	58	85	81	30	54	64	26	66	76	0
8	40	69	81	64	41	39	6	70	26	2	59	25	95	67	84	11	28	32	76	0
86	69	62	92	68	77	51	48	34	45	8	23	26	0	52	82	66	12	71	94	0
68	38	29	9	7	97	40	37	12	56	8	1	96	83	14	46	20	63	3	41	0
54	45	27	7	86	62	24	39	65	59	78	3	41	48	38	22	79	29	67	71	1
88	97	86	49	24	34	47	17	5	52	58	45	3	31	43	74	84	46	59	57	1
17	10	78	76	47	60	90	44	38	13	36	28	65	84	37	80	21	26	41	43	1
84	17	37	5	15	10	85	16	51	38	19	76	52	49	99	41	21	44	3	94	0
27	24	98	45	47	94	48	69	23	42	55	75	10	90	62	43	70	9	12	80	0
6	42	40	79	21	74	27	2	86	45	96	29	76	12	10	58	51	7	49	71	0
66	21	42	32	34	53	79	75	38	48	86	95	62	13	52	45	57	92	2	71	2
20	63	71	67	99	48	47	85	25	15	7	65	27	13	21	24	38	22	73	55	0
27	13	37	97	41	95	58	68	78	53	60	86	84	49	54	59	80	5	48	33	1
6	54	71	22	89	59	41	91	33	35	55	53	47	87	80	30	16	20	50	7	1
32	54	82	87	80	64	65	81	29	18	69	50	10	74	44	19	3	42	91	55	0
32	15	41	29	25	20	53	52	48	69	79	82	58	88	3	81	10	12	54	77	0
85	75	23	24	65	10	2	33	11	89	71	93	51	43	66	13	55	6	49	8	2
60	16	20	62	57	50	10	30	51	78	92	14	43	56	4	83	65	15	28	95	0
84	30	93	19	56	10	99	92	89	90	51	14	40	87	4	79	66	24	25	46	1
89	31	94	54	25	7	98	38	60	44	13	55	51	24	35	68	96	14	63	82	0
33	78	48	22	58	82	38	83	5	26	76	32	45	80	69	54	18	47	81	53	1
60	62	50	74	85	41	66	87	51	45	46	25	81	36	15	59	14	38	99	95	0
41	64	45	34	99	46	76	33	50	57	40	3	39	22	42	85	79	70	5	43	0
96	24	6	47	37	59	43	92	49	3	57	17	88	75	67	73	26	87	93	60	1
6	98	81	73	35	59	40	85	23	48	88	2	56	8	21	26	4	7	82	65	0
45	49	22	10	26	0	33	40	91	43	12	81	98	60	84	9	24	77	85	41	0
24	45	29	66	25	90	82	18	50	93	43	10	63	49	39	38	55	85	70	58	0
37	54	79	25	18	52	26	38	20	15	96	29	48	89	50	7	55	39	23	9	1
34	11	48	73	85	25	33	39	84	56	78	12	45	4	94	7	51	81	90	50	1
51	83	52	27	48	66	8	95	81	9	87	75	86	18	73	28	60	46	19	6	0
97	43	11	75	9	69	51	64	79	50	63	28	76	4	36	10	12	71	67	39	1
73	45	44	65	30	12	6	66	4	92	55	79	62	98	28	88	51	49	81	43	0
33	72	18	24	15	70	5	1	50	29	93	37	42	17	26	38	32	47	34	27	3
10	32	95	85	66	42	91	98	38	77	68	19	59	1	24	82	50	20	40	48	0
59	23	86	38	81	63	17	4	16	51	54	88	90	84	44	8	62	30	57	66	2
51	89	62	56	72	86	55	52	31	63	66	24	36	98	53	54	13	70	6	93	1
86	11	65	45	14	48	61	75	68	35	67	74	55	8	5	79	96	29	53	73	0
0	65	37	25	38	33	68	66	23	89	62	92	1	56	83	29	26	94	48	42	2
58	55	13	32	16	82	4	83	98	43	61	11	69	60	92	2	73	50	33	80	0
25	98	91	1	8	18	49	29	83	81	61	80	70	12	95	62	74	86	27	41	3
9	53	83	69	33	26	96	13	81	52	78	30	19	59	47	18	11	15	6	85	1
87	64	24	84	96	80	47	45	54	77	55	73	63	59	40	15	81	49	12	69	0
60	89	39	71	61	9	49	41	67	15	82	14	92	29	46	76	1	43	45	65	0
21	24	70	31	94	34	38	89	87	30	77	17	15	81	92	76	72	22	62	12	1
51	43	57	30	36	65	35	23	96	76	17	59	63	52	99	1	86	82	29	95	0
23	77	20	46	1	15	55	69	40	14	25	53	19	27	57	79	0	83	89	13	0
96	65	75	55	42	23	53	59	25	78	43	94	68	91	54	95	11	39	4	24	1
22	73	89	61	27	77	34	56	66	47	36	98	0	29	65	13	53	97	14	69	0
51	14	41	69	91	12	76	84	62	6	10	35	92	60	48	86	81	71	57	4	0
71	57	12	13	56	91	95	73	30	67	52	55	46	38	14	26	19	34	35	53	0
21	32	57	47	43	88	44	52	6	22	11	4	3	84	15	51	63	73	28	1	1
5	83	68	91	69	58	76	92	17	31	35	63	33	12	41	11	0	23	26	72	0
75	98	63	45	29	64	57	82	91	77	19	2	84	25	43	92	39	51	83	56	1
9	65	0	53	75	91	50	82	89	41	72	21	76	49	31	5	55	47	15	30	0
19	83	89	42	98	5	71	22	3	34	43	1	39	29	33	88	77	80	16	54	1
4	0	12	18	39	11	51	94	17	97	48	98	91	42	27	33	59	37	44	85	0
30	73	99	11	2	61	50	39	65	23	48	52	35	84	64	33	38	83	58	25	0
24	45	7	72	40	71	48	51	95	77	64	34	74	56	76	16	55	54	33	1	2
17	72	95	93	37	78	2	26	50	41	6	82	28	19	71	25	97	49	24	63	0
